ligne	Treatment	Rep	StartingDate	EndingDate	Day	PHT	lig	app	MnbLeafMainstem	AreaLFEL	tillerNb_1	biomAero2	biomInMainstem	MbiomLeafMainstem	MpanicleDWmainstem
1	2	1	23/05/2016	10/09/2016	21	NA	5	8	6	NA	2	NA	NA	NA	NA
1	2	1	23/05/2016	10/09/2016	28	NA	8	11	9	118.1	3	NA	NA	NA	NA
1	2	1	23/05/2016	10/09/2016	35	40	10	14	10	NA	NA	NA	NA	NA	NA
1	2	1	23/05/2016	10/09/2016	42	75.06	11	15	9	308.83	2	NA	NA	NA	NA
1	2	1	23/05/2016	10/09/2016	45	NA	NA	NA	NA	NA	NA	29.01	8.233333333	18.01111111	NA
1	2	1	23/05/2016	10/09/2016	49	111.5	12	16	8	NA	NA	NA	NA	NA	NA
1	2	1	23/05/2016	10/09/2016	56	133.33	13	16	8	402.86	1	NA	NA	NA	NA
1	2	1	23/05/2016	10/09/2016	59	NA	NA	NA	NA	NA	NA	41.28807162	18.61373338	20.71878268	NA
1	2	1	23/05/2016	10/09/2016	63	179	14	17	8	NA	NA	NA	NA	NA	NA
1	2	1	23/05/2016	10/09/2016	70	212.22	15	18	8	440.37	NA	NA	NA	NA	NA
1	2	1	23/05/2016	10/09/2016	77	219.67	15	18	7	NA	NA	NA	NA	NA	NA
1	2	1	23/05/2016	10/09/2016	85	231	16	19	6	363.35	NA	NA	NA	NA	NA
1	2	1	23/05/2016	10/09/2016	91	NA	13	16	6	NA	NA	NA	NA	NA	NA
1	2	1	23/05/2016	10/09/2016	105	291.78	19	21	8	NA	1	NA	NA	NA	NA
1	2	1	23/05/2016	10/09/2016	110	NA	NA	NA	NA	NA	NA	83.92972812	49.25847786	32.29594355	2.375306712
